domain,users_count,projects_count,what_users_do,top_themes
dom.gosuslugi.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
my.dom.gosuslugi.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
gosuslugi.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
esia.gosuslugi.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
bars-monjf.tatar.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Регистрация/аккаунты
fikfap.com,1,1,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets",Регистрация/аккаунты
massage-xxx.su,1,1,"Навигация по сайтам, Формы/клики/DOM, Таблицы/Google Sheets",Регистрация/аккаунты
track.initialtracking.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Лидогенерация/арбитраж
111.229.241.103,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Лидогенерация/арбитраж
api.myip.com,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Лидогенерация/арбитраж
trk.adatracker.xyz,1,1,"Навигация по сайтам, Формы/клики/DOM, HTTP/API запросы",Лидогенерация/арбитраж
detmir.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, Логика/ретраи",Регистрация/аккаунты
checkout.pp-service.xyz,1,1,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
paysys3ds.app,1,1,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
processingv2.betatransfer.io,1,1,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
swarovski-vista.xyz,1,1,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
e.mail.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
otvet.mail.ru,1,1,"Навигация по сайтам, Формы/клики/DOM, Прокси/профили/эмуляция",Регистрация/аккаунты
aimlapi.com,1,1,Прочие действия,Регистрация/аккаунты
api.aimlapi.com,1,1,Прочие действия,Регистрация/аккаунты
checkout-v2.paymongo.com,1,1,"Формы/клики/DOM, Логика/ретраи, HTTP/API запросы",Регистрация/аккаунты
swiffyvouchers.co.za,1,1,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи",Регистрация/аккаунты
portal.sakeng.co.za,1,1,"Навигация по сайтам, Формы/клики/DOM, Прочие действия",Регистрация/аккаунты
pay.ms.fnb.co.za,1,1,"Навигация по сайтам, Формы/клики/DOM, Прочие действия",Регистрация/аккаунты
b2capi.sakeng.co.za,1,1,"Навигация по сайтам, Формы/клики/DOM, Прочие действия",Регистрация/аккаунты
sportybet.co.za,1,1,"Формы/клики/DOM, Парсинг/валидация, Логика/ретраи",Регистрация/аккаунты
api.tempmail.lol,1,1,"Навигация по сайтам, HTTP/API запросы, Формы/клики/DOM",Регистрация/аккаунты
nodefree.org,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
anaer.github.io,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
xrayvip.com,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
ablnk.absslk.xyz,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
150.230.195.209,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
freemc.mcsslk.xyz,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
v2nodes.com,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
clashe.eu.org,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
api.xqc.best,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
bitbucket.org,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
proxy.yugogo.xyz,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
sub.pmsub.me,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
weoknow.com,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
pool.sagithome.com,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
jiang.netlify.app,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
beetle.lander.work,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
qiaomenzhuanfx.netlify.app,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
robin.nscl.ir,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
free.jingfu.cf,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
v2rayshare.com,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
vpnyyds.link,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
fetchjiedian.feisu360.xyz,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
0xerfan.github.io,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
free.dsdog.tk,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
levpro.ru,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
s1.byte16.com,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
toshare.tosslk.xyz,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
chromego-sub.netlify.app,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
gfwglass.tk,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
my.ishadowx.biz,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
vpn.fail,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
dd.csjc.win,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
raw.fastgit.org,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
clashnode.com,1,1,"HTTP/API запросы, Таблицы/Google Sheets, Парсинг/валидация",Регистрация/аккаунты
